iter	Passed	Remaining
1302	33014	17659
1303	33038	17633
1304	33061	17607
1305	33085	17581
1306	33107	17554
1307	33131	17528
1308	33159	17504
1309	33186	17479
1310	33209	17453
1311	33234	17427
1312	33256	17400
1313	33284	17377
1314	33308	17350
1315	33331	17324
1316	33358	17299
1317	33381	17273
1318	33408	17248
1319	33434	17223
1320	33457	17197
1321	33479	17170
1322	33502	17143
1323	33528	17118
1324	33551	17092
1325	33577	17067
1326	33604	17042
1327	33630	17017
1328	33655	16992
1329	33679	16966
1330	33709	16943
1331	33741	16921
1332	33774	16900
1333	33803	16876
1334	33827	16850
1335	33851	16824
1336	33873	16797
1337	33901	16773
1338	33925	16747
1339	33952	16722
1340	33981	16699
1341	34009	16675
1342	34035	16650
1343	34060	16624
1344	34083	16598
1345	34107	16572
1346	34130	16545
1347	34155	16520
1348	34182	16495
1349	34209	16471
1350	34235	16446
1351	34263	16422
1352	34291	16397
1353	34319	16374
1354	34345	16348
1355	34370	16323
1356	34398	16299
1357	34424	16274
1358	34448	16248
1359	34475	16223
1360	34499	16197
1361	34524	16172
1362	34549	16146
1363	34574	16121
1364	34597	16094
1365	34624	16070
1366	34648	16044
1367	34672	16018
1368	34698	15993
1369	34722	15967
1370	34753	15944
1371	34782	15920
1372	34806	15894
1373	34833	15870
1374	34856	15843
1375	34880	15817
1376	34904	15792
1377	34928	15765
1378	34958	15742
1379	34982	15716
1380	35009	15691
1381	35033	15666
1382	35057	15640
1383	35082	15614
1384	35106	15588
1385	35130	15562
1386	35153	15536
1387	35178	15511
1388	35204	15486
1389	35228	15460
1390	35252	15434
1391	35276	15408
1392	35300	15382
1393	35327	15357
1394	35353	15332
1395	35382	15308
1396	35407	15283
1397	35432	15257
1398	35458	15232
1399	35485	15208
1400	35509	15182
1401	35534	15156
1402	35557	15130
1403	35582	15104
1404	35612	15081
1405	35640	15057
1406	35668	15032
1407	35693	15007
1408	35718	14981
1409	35742	14956
1410	35766	14930
1411	35789	14904
1412	35817	14879
1413	35841	14853
1414	35866	14828
1415	35890	14802
1416	35913	14775
1417	35937	14750
1418	35966	14726
1419	35990	14700
1420	36017	14675
1421	36046	14651
1422	36074	14627
1423	36100	14602
1424	36123	14576
1425	36147	14550
1426	36171	14524
1427	36196	14498
1428	36220	14472
1429	36244	14447
1430	36269	14421
1431	36294	14396
1432	36317	14370
1433	36341	14343
1434	36365	14318
1435	36390	14292
1436	36414	14266
1437	36439	14241
1438	36465	14216
1439	36488	14190
1440	36515	14165
1441	36539	14139
1442	36566	14114
1443	36595	14090
1444	36622	14065
1445	36647	14040
1446	36671	14014
1447	36701	13991
1448	36728	13966
1449	36751	13940
1450	36776	13914
1451	36800	13888
1452	36824	13863
1453	36854	13839
1454	36878	13813
1455	36904	13788
1456	36928	13762
1457	36954	13737
1458	36984	13714
1459	37009	13688
1460	37037	13664
1461	37063	13638
1462	37091	13614
1463	37118	13589
1464	37146	13565
1465	37172	13540
1466	37200	13515
1467	37228	13491
1468	37253	13466
1469	37280	13441
1470	37303	13415
1471	37327	13389
1472	37352	13363
1473	37375	13337
1474	37401	13312
1475	37429	13287
1476	37454	13262
1477	37478	13236
1478	37503	13211
1479	37529	13186
1480	37557	13161
1481	37582	13136
1482	37611	13112
1483	37640	13087
1484	37670	13064
1485	37696	13039
1486	37720	13013
1487	37745	12987
1488	37769	12961
1489	37794	12936
1490	37822	12911
1491	37847	12886
1492	37871	12860
1493	37896	12835
1494	37921	12809
1495	37945	12783
1496	37968	12757
1497	37992	12731
1498	38015	12705
1499	38041	12680
1500	38069	12656
1501	38094	12630
1502	38117	12604
1503	38142	12578
1504	38165	12552
1505	38189	12526
1506	38216	12502
1507	38241	12476
1508	38269	12452
1509	38297	12427
1510	38325	12403
1511	38350	12377
1512	38377	12352
1513	38402	12327
1514	38427	12301
1515	38450	12275
